Probe	E14.5_R1	E14.5_R2	Neonatal_R1	Neonatal_R2	Adult_R1	Adult_R2	TAC_R1	TAC_R2
Gm15792	3	1	2	1	0	0	0	0
P2rx2	8	4	1	1	2	0	0	0
Gm1679	0	0	0	0	0	0	0	0
Fbrsl1	1045	1349	1107	1117	704	733	774	940
A630023P12Rik	0	0	0	0	1	2	1	0
Galnt9	5	4	4	2	1	0	2	0
Noc4l	264	250	127	135	65	60	84	76
Ddx51	230	212	152	149	77	62	89	90
Ep400	2510	3316	3428	4095	1028	911	1097	1131
AC161348.2	0	0	0	0	0	0	0	0
Gm15559	51	45	24	23	4	4	12	11
Pus1	247	253	182	189	82	83	128	115
Ulk1	790	967	822	1173	657	600	652	565
Hscb	135	140	64	84	90	116	119	141
Chek2	255	244	158	121	58	35	103	111
Ttc28	1336	1932	3092	2195	1149	866	1443	1503
Pitpnb	1021	1423	1265	1268	448	448	555	585
Mn1	189	237	293	196	300	363	353	413
C130026L21Rik	0	1	0	0	0	0	2	1
E130006D01Rik	13	12	16	11	7	2	9	6
Gm16019	0	0	1	0	0	0	0	0
Cryba4	1	3	18	10	39	44	33	33
Crybb1	1	0	3	2	7	9	6	2
Tpst2	375	347	518	487	248	235	265	286
Tfip11	487	464	343	354	180	170	215	210
Srrd	99	90	58	53	50	47	47	48
Hps4	142	161	119	99	120	123	116	127
Gm6583	0	0	7	0	0	0	0	1
Gm20636	1	0	0	1	1	1	0	0
Asphd2	3	4	4	3	0	0	1	0
Sez6l	21	19	34	8	8	5	9	4
Gm6588	0	0	0	0	0	0	0	0
Myo18b	4642	4896	4912	5430	5017	5752	6899	6704
Adrbk2	1078	1166	1167	1218	309	268	384	410
Crybb2	1	4	7	1	0	0	0	0
Crybb3	34	38	20	13	0	4	4	8
2900026A02Rik	636	849	817	841	301	228	411	392
Tmem211	0	0	1	0	0	0	0	0
Sgsm1	34	29	27	18	12	8	12	12
AC151577.1	0	0	0	0	0	0	0	0
Aym1	0	0	0	0	0	0	0	0
Wscd2	225	267	37	35	4	2	20	9
Cmklr1	37	28	105	85	245	242	277	396
Gm15736	0	0	0	0	0	0	0	0
1700069L16Rik	4	3	4	3	0	0	0	0
Ficd	39	22	29	37	64	49	66	50
Sart3	1349	1378	615	670	251	216	276	284
Iscu	440	392	364	399	529	658	603	657
Tmem119	37	33	69	63	35	20	62	45
Selplg	53	63	24	25	52	27	46	61
Coro1c	1955	2317	1344	1165	432	402	580	576
Gm17122	15	24	5	8	6	5	7	5
Ssh1	690	834	745	731	269	206	328	329
Dao	3	6	3	5	0	2	1	2
Svop	11	7	16	7	1	2	0	0
Gm16108	0	3	4	4	0	0	0	0
Usp30	309	295	162	193	122	116	146	138
Alkbh2	45	42	28	34	12	12	21	22
Ung	229	224	139	151	143	145	138	120
Acacb	1224	1485	2272	2509	3654	4015	3256	3102
Foxn4	4	1	1	3	0	0	0	0
Myo1h	90	99	58	50	14	13	27	21
Kctd10	1031	993	636	749	277	231	399	361
Ube3b	1108	1146	939	1110	862	911	1075	971
Mmab	283	273	176	182	260	268	262	249
Mvk	134	135	113	87	54	66	57	69
Gm13790	0	0	0	0	0	0	0	0
BC057022	62	69	97	133	18	32	15	13
Trpv4	14	18	52	57	81	90	64	99
Gltp	144	162	114	101	79	68	91	114
Tchp	229	252	141	142	78	84	97	96
Git2	1228	1314	1434	1507	618	565	714	750
Ankrd13a	1120	1206	845	1031	333	372	442	426
1500011B03Rik	148	168	97	91	16	9	30	35
Gm13821	0	0	0	0	0	0	0	0
4930519G04Rik	0	0	1	5	0	0	0	0
Gm9936	8	4	2	0	0	0	0	0
Oasl2	30	38	350	544	136	100	200	223
Gm13822	0	2	11	9	0	0	0	3
Oasl1	34	40	462	405	12	19	39	45
2210016L21Rik	168	164	126	149	106	105	149	128
Hnf1a	3	6	9	5	1	2	4	0
Gm13824	2	0	4	3	0	0	0	1
Sppl3	1568	2010	2021	2669	622	668	687	773
Gm10401	10	10	8	7	4	1	3	2
Acads	397	412	308	435	454	522	453	429
Unc119b	456	435	306	335	96	90	150	165
Mlec	1832	1871	1019	1149	676	753	1034	842
Cabp1	89	91	209	179	37	27	64	97
Pop5	202	192	181	198	201	204	236	233
Rnf10	1471	1913	1562	2042	1532	1505	1689	1684
Coq5	948	894	837	911	1048	1138	1243	1206
Dynll1	758	859	513	533	117	93	191	198
Gm13830	29	26	31	24	11	5	8	9
Srsf9	369	391	224	260	133	151	166	162
Gatc	145	184	118	133	98	101	108	95
Triap1	109	115	76	87	81	72	102	96
Cox6a1	582	505	341	327	117	117	182	177
4930401G09Rik	0	0	0	0	0	0	0	0
Gm13832	18	25	14	9	0	0	1	1
Msi1	132	173	80	80	1	2	7	4
4930430O22Rik	0	0	0	0	0	0	0	0
Pla2g1b	1	1	3	0	0	0	0	0
Sirt4	55	54	57	64	84	87	89	92
AC159539.1	39	48	34	33	24	19	26	26
Pxn	749	760	885	993	332	322	343	439
Rplp0	3908	3646	1936	2571	1623	1746	1822	1937
Gcn1l1	1716	1602	1040	1116	696	738	914	780
Rab35	630	666	416	448	256	257	319	278
Ccdc64	126	185	85	106	51	27	50	38
Cit	619	823	511	418	74	60	137	122
Gm14508	21	39	16	18	12	6	12	9
Prkab1	333	309	281	255	204	232	200	196
Gm13842	0	1	2	0	0	0	0	0
Tmem233	1	0	2	2	0	0	1	0
C330018A13Rik	0	0	1	0	0	0	0	0
Ccdc60	22	23	8	11	1	0	2	2
Gm14507	0	0	1	0	0	0	0	0
Gm13837	0	0	0	0	0	0	0	0
Gm13839	0	0	0	0	0	0	0	0
Gm13838	0	0	3	1	0	0	0	0
B230112J18Rik	0	0	0	0	0	0	0	0
4930562A09Rik	3	5	3	3	0	0	0	0
Hspb8	849	887	681	1005	1583	1691	2059	2105
2410137F16Rik	6	13	12	7	16	11	34	25
Srrm4	59	72	50	63	108	86	215	162
4930569F06Rik	0	0	0	0	0	0	0	0
Suds3	1475	1465	910	1068	1042	1142	1235	1181
9530046B11Rik	7	7	9	9	3	1	1	1
Taok3	347	356	754	495	485	407	576	675
Pebp1	691	650	323	410	451	446	555	552
Gm10399	3	0	2	2	0	0	0	0
Vsig10	404	458	203	295	71	72	95	113
Wsb2	1730	1843	1259	1579	531	566	699	644
Rfc5	447	512	169	190	77	32	66	52
Gm15728	152	166	84	54	4	7	6	5
Ksr2	10	19	15	14	2	0	3	4
Nos1	12	15	20	19	17	7	19	16
Fbxo21	916	935	484	549	338	383	356	384
Tesc	104	102	116	232	557	575	572	559
Fbxw8	1318	1413	1299	1258	619	655	695	743
Gm9754	55	62	35	33	28	27	31	27
Hrk	12	12	30	20	6	3	7	3
Rnft2	55	63	62	29	31	30	42	30
2410131K14Rik	234	228	226	170	196	201	272	253
AC132338.1	0	0	0	0	0	0	0	0
Med13l	3301	4672	5976	6231	1727	1728	1838	2104
n-R5s175	0	0	0	0	0	0	0	0
Gm2301	12	18	59	34	12	12	18	17
Gm16063	0	0	0	0	0	0	0	0
Gm16064	0	1	0	1	0	0	0	0
Tbx3	325	355	630	734	104	82	125	131
Gm16065	2	1	2	2	0	0	0	0
Tbx5	549	667	372	474	601	604	386	322
n-R5s176	0	0	0	0	0	0	0	0
Rbm19	776	706	457	451	236	245	228	271
AC111115.1	1	2	0	1	0	0	0	0
Lhx5	2	3	5	4	3	1	1	0
Sdsl	77	72	63	68	59	68	65	63
Sds	0	4	1	1	12	3	7	5
Gm15690	10	6	5	3	3	5	4	2
Plbd2	324	327	307	340	278	282	343	347
Slc24a6	55	61	108	103	82	74	93	111
Tpcn1	234	270	319	292	322	299	419	440
Iqcd	6	8	11	6	2	2	0	6
1110008J03Rik	67	68	83	72	54	64	63	52
Ddx54	889	879	456	564	255	244	342	301
AC125183.1	1	0	0	2	0	0	0	0
Gm15749	0	0	0	0	0	0	0	0
Rasal1	5	5	6	4	1	0	0	1
Dtx1	14	21	17	26	15	5	9	12
Oas2	0	1	36	30	125	103	121	187
Oas3	6	7	16	12	4	9	15	16
Oas1e	0	1	0	0	0	0	0	0
Oas1c	10	6	22	18	5	7	22	13
Oas1b	8	8	159	290	41	38	53	66
Oas1f	0	0	0	0	0	0	0	0
AC015535.1	0	0	0	0	0	0	0	0
Oas1h	0	0	0	0	0	0	0	0
Oas1g	2	0	28	16	24	17	29	48
Oas1a	2	3	50	40	29	37	83	79
Oas1d	0	0	0	0	0	0	0	0
Rph3a	7	10	7	10	3	3	2	3
Ptpn11	3056	3362	2559	2938	2324	3002	2846	2992
Rpl6	5027	4806	2384	2873	1565	1589	1761	1555
Gm15800	1369	1918	1759	1890	1151	1177	1166	1110
Trafd1	1024	933	643	771	533	612	685	636
Naa25	2293	2418	1510	1766	619	618	806	781
Erp29	905	958	573	544	397	400	473	512
Tmem116	122	154	180	134	308	236	221	272
Adam1b	1	5	2	1	0	0	0	0
Adam1a	1273	1370	974	921	721	764	783	841
Aldh2	394	375	453	417	891	1040	694	743
Acad12	41	36	47	62	280	321	258	258
Acad10	56	53	130	66	216	215	176	214
Brap	977	997	692	786	432	381	523	521
Atxn2	2960	3882	3552	4655	1560	1233	1717	1925
Gm16552	14	29	20	25	8	5	5	10
Sh2b3	638	695	931	769	289	289	315	373
Fam109a	127	112	129	149	65	84	127	113
Cux2	412	472	280	277	543	459	434	454
Gm15637	0	1	1	1	0	1	0	0
Myl2	115928	93461	103814	121968	129953	146444	137001	133635
Ccdc63	43	41	53	33	31	23	53	52
Ppp1cc	2439	2549	1487	1540	667	707	870	865
Hvcn1	29	43	43	27	14	13	46	46
Tctn1	122	137	108	106	64	66	82	82
Pptc7	1050	1140	1137	1350	1227	1273	1337	1326
Rad9b	109	132	123	98	117	117	113	121
Vps29	865	894	523	591	308	303	453	447
1500011H22Rik	417	394	173	185	90	78	144	135
Gpn3	340	344	179	221	191	216	159	161
Arpc3	1338	1231	986	1004	549	562	808	819
Anapc7	816	854	544	654	279	291	395	403
Atp2a2	28092	27556	37651	55302	109192	125301	103641	93481
Ift81	801	805	580	713	858	1041	840	743
P2rx7	56	59	286	93	203	217	230	297
Gm10064	0	0	1	0	0	0	0	0
P2rx4	151	187	200	153	243	267	283	319
Camkk2	293	348	393	341	185	168	271	282
Anapc5	3738	3518	1852	2255	1591	1705	1912	1818
Rnf34	489	477	383	376	380	415	478	453
Kdm2b	589	679	547	527	257	264	334	318
A930024E05Rik	95	96	55	51	24	20	27	22
Orai1	296	329	210	191	86	107	89	114
Morn3	9	12	16	7	3	5	2	2
Tmem120b	213	216	265	233	129	135	157	146
Rhof	80	85	102	92	29	27	14	26
AI480526	148	120	173	176	104	95	89	79
Setd1b	212	276	263	362	154	96	142	155
Hpd	0	0	2	0	0	0	0	0
Psmd9	340	393	212	195	136	157	204	161
Wdr66	37	47	78	64	28	30	35	35
Gm15857	3	2	2	5	0	0	0	1
Gm15860	24	26	42	32	22	25	27	25
Bcl7a	343	373	251	242	174	209	211	184
Gm15747	1	2	10	1	1	2	2	2
Mlxip	600	842	1088	1200	858	814	636	776
Il31	0	1	0	0	0	0	0	0
Lrrc43	6	13	17	4	0	0	0	0
Gm15751	17	22	17	20	24	23	24	20
Diablo	693	684	428	479	483	525	548	574
SCARNA20	0	0	0	0	0	0	0	0
Vps33a	645	651	541	543	398	400	467	450
Clip1	3387	3501	3539	4389	5520	6300	7752	7521
Zcchc8	953	999	710	762	346	362	370	433
Rsrc2	3470	3401	2275	2789	1207	1351	1314	1369
Kntc1	1234	1199	495	447	17	8	84	58
Niacr1	2	1	12	2	0	0	1	4
Gpr81	0	3	2	0	0	0	0	0
Denr	1281	1264	832	897	711	719	832	751
Hip1r	661	725	641	686	180	175	292	272
Vps37b	785	901	607	861	168	160	224	213
Abcb9	30	33	57	48	71	80	148	110
Gm16001	41	34	27	22	9	8	23	10
Ogfod2	60	82	51	59	64	55	78	54
Arl6ip4	365	335	237	249	188	194	189	205
Pitpnm2	1335	1726	1409	1405	1089	1076	1083	1054
Gm16338	9	10	10	10	13	5	6	5
4930568K20Rik	9	9	18	7	0	5	4	1
Mphosph9	919	1021	559	536	319	324	380	347
2810006K23Rik	172	154	123	135	105	120	138	130
Cdk2ap1	332	343	196	205	174	149	188	183
Sbno1	3914	4085	3126	3736	1813	1804	2290	2135
Setd8	1226	1399	977	1246	1553	1725	1916	1877
Rilpl2	132	126	114	101	60	63	73	87
Snrnp35	149	194	93	88	47	41	54	44
Rilpl1	458	529	677	751	1984	2448	1610	1901
Tmed2	2292	2335	1408	1627	1165	1280	1659	1544
Ddx55	202	184	185	131	113	117	140	152
AC127313.1	0	0	0	0	0	0	0	0
Eif2b1	434	467	273	270	166	155	211	210
Gtf2h3	375	326	188	198	196	223	257	269
Tctn2	137	141	73	64	35	30	51	50
Atp6v0a2	535	551	508	508	392	443	561	461
Dnahc10	28	25	63	44	1	1	6	7
Ccdc92	49	66	38	40	10	12	12	10
Zfp664	1109	1186	816	1020	429	414	520	511
Fam101a	15	12	11	6	0	1	5	4
Ncor2	1085	1404	1714	1765	1168	1013	1086	1173
AC132118.1	0	0	0	0	0	0	0	0
Scarb1	705	819	682	730	242	194	267	335
Ubc	1293	884	728	1127	604	635	655	606
Gm10382	13	16	16	12	13	5	9	11
Dhx37	417	395	331	435	206	185	325	274
Bri3bp	432	508	365	439	288	292	355	384
Aacs	229	244	271	235	50	42	88	82
Tmem132b	26	31	47	24	7	0	14	11
Gm4868	0	0	0	0	0	0	0	0
AC158900.1	0	0	0	0	0	0	0	0
Tmem132c	169	181	40	29	4	5	10	2
1700085B03Rik	0	0	0	0	0	0	1	0
Slc15a4	512	543	381	371	250	282	317	345
Glt1d1	2	0	2	1	0	0	3	0
Tmem132d	573	785	707	873	259	238	319	295
AC241619.1	0	0	0	0	0	0	0	0
5930412G12Rik	9	7	5	0	2	0	0	2
Fzd10	13	13	3	7	0	0	1	0
Piwil1	0	0	0	2	0	0	0	0
Rimbp2	19	33	11	12	0	0	3	0
Stx2	227	261	367	237	144	138	229	228
Ran	2762	2631	988	1088	544	551	684	664
Gpr133	71	50	87	94	206	131	164	271
Sfswap	2372	2673	2146	1972	895	972	913	1135
AC114657.1	32	51	62	37	8	8	14	17
Gm6139	0	0	1	0	0	0	0	1
Zfp11	103	104	119	101	89	75	117	108
14-Sep	1	1	0	1	0	0	0	0
Mrps17	323	297	210	222	217	193	207	213
Gbas	3032	3086	2667	3310	4452	5320	3678	3591
Psph	284	275	228	171	65	62	70	86
Cct6a	3598	3394	1384	1648	815	942	1214	1101
Sumf2	211	197	124	105	95	103	110	111
Phkg1	1897	1849	1437	1729	2211	2360	1892	1858
2410018M08Rik	145	135	71	88	2	5	21	19
4930579G22Rik	4	4	9	4	2	6	3	4
Vkorc1l1	886	1188	1113	1262	329	353	406	463
Gusb	409	360	260	212	185	159	283	274
Asl	137	162	103	102	48	40	71	76
Crcp	320	346	240	241	144	144	219	222
Tpst1	243	294	484	267	170	125	211	231
Kctd7	93	94	102	72	31	33	60	57
Rabgef1	874	978	969	921	403	377	473	500
0610007L01Rik	1102	1216	877	845	384	395	486	466
Sbds	847	786	518	602	419	426	541	523
Tyw1	356	382	289	290	172	160	227	215
Caln1	10	10	33	9	1	0	6	2
A330070K13Rik	0	0	0	0	0	0	0	0
Wbscr17	232	424	984	538	346	324	459	558
Auts2	9054	14435	13310	13442	5489	4630	5455	5008
Gm15627	3	0	1	2	3	1	0	0
Gatsl2	212	265	273	313	280	297	302	261
Wbscr16	380	394	268	273	226	242	205	243
Gtf2ird2	218	252	190	224	130	140	128	162
Ncf1	41	40	38	25	90	110	102	178
Gtf2i	2499	3043	1861	2443	1690	1716	1734	1802
AC093346.1	0	0	0	0	0	0	0	0
Mir3965	0	0	0	0	0	0	0	0
Gtf2ird1	936	1124	904	790	262	219	383	409
n-R5s178	0	0	0	0	0	0	0	0
AC167419.1	0	1	1	0	2	1	3	4
Clip2	461	508	459	296	135	141	255	290
Syna	0	0	0	1	0	0	0	0
Rfc2	578	534	259	283	113	102	171	153
Lat2	109	141	116	117	50	34	52	61
Eif4h	2695	2737	1623	1886	741	809	885	855
Limk1	195	238	232	164	54	45	69	95
Gm10369	12	5	9	7	1	1	3	1
Eln	2330	1636	2891	4949	221	220	941	1167
Wbscr28	0	0	2	0	0	0	0	0
Cldn13	4	3	0	0	0	0	0	0
Wbscr27	69	69	41	33	11	7	30	29
Cldn4	211	201	6	23	0	0	0	0
Cldn3	34	25	7	7	0	0	0	0
Wbscr25	6	1	8	0	4	1	1	1
Abhd11	230	196	164	175	178	202	195	189
2010001M06Rik	1	0	3	1	3	1	4	5
Stx1a	200	210	152	96	42	28	49	52
Wbscr22	354	333	192	215	122	110	123	163
Dnajc30	40	43	54	48	63	68	72	58
Vps37d	41	39	16	13	4	2	6	7
Mlxipl	22	19	87	93	320	362	349	425
Tbl2	417	399	323	302	127	142	198	174
Bcl7b	370	395	257	292	257	255	291	279
Baz1b	3792	3929	2802	3006	1743	1860	1938	2051
Fzd9	25	23	5	7	2	0	12	9
Fkbp6	5	20	16	10	1	1	1	1
Trim50	7	2	7	8	1	0	1	2
Nsun5	139	130	121	110	101	104	108	123
Pom121	476	580	452	558	110	90	104	146
Hip1	1467	1556	1318	1186	866	848	1149	1201
Ccl26	0	0	0	0	19	10	2	4
Ccl24	9	16	5	0	126	109	36	62
Rhbdd2	137	147	142	156	108	118	139	127
Por	748	775	1132	1307	581	587	476	553
Tmem120a	243	254	168	181	96	108	124	97
Styxl1	5	9	22	5	7	14	12	6
Mdh2	2650	2708	2792	3496	3905	4056	3872	4139
Srrm3	16	21	31	16	3	4	3	5
AC084162.1	1	1	0	1	0	0	0	0
4930521C21Rik	0	0	1	1	0	0	0	0
AC084162.2	0	0	0	0	0	0	0	0
Hspb1	635	611	598	1043	407	448	431	443
Ywhag	1509	1766	1417	1677	1033	1151	1154	1295
Srcrb4d	11	7	24	9	6	4	1	3
Zp3	0	0	2	0	0	0	0	0
Dtx2	388	421	275	320	127	115	98	146
Upk3b	387	374	115	278	136	74	60	85
2310043J07Rik	5	6	4	1	3	0	0	0
Rasa4	32	19	85	54	68	40	150	104
Gm15701	0	0	0	0	1	0	0	0
Polr2j	353	292	160	188	162	180	166	183
Lrwd1	218	212	98	92	70	70	77	95
Alkbh4	87	85	55	76	24	21	33	22
Orai2	116	113	133	96	30	20	62	70
Prkrip1	715	743	339	347	184	163	195	245
Sh2b2	83	95	138	83	22	8	22	22
Cux1	4507	5991	5721	6042	2889	2893	3192	3109
Gm16599	121	166	144	126	93	64	95	85
4731417B20Rik	0	0	0	0	0	0	0	0
Myl10	1	2	0	0	0	0	0	0
Emid2	153	186	142	68	6	10	27	26
Rabl5	73	71	44	49	32	34	49	40
Fis1	577	515	316	397	343	363	363	330
Cldn15	68	60	83	55	59	30	43	46
Znhit1	272	208	135	143	169	156	212	186
Plod3	723	706	525	497	206	193	309	294
Vgf	3	2	4	3	0	0	0	0
Ap1s1	273	314	190	179	117	114	140	123
Serpine1	731	686	1165	1245	1083	1041	969	1451
Trim56	557	570	760	949	358	335	423	416
Muc3	0	0	0	0	0	1	0	0
Gm3054	0	1	0	0	0	0	0	0
CAAA01077335.1	2	0	1	0	0	0	0	0
Ache	62	51	22	18	14	10	7	3
Ufsp1	19	24	18	17	26	25	24	34
Srrt	2066	1896	1050	1149	492	516	631	609
Trip6	311	288	145	160	85	88	117	107
Slc12a9	115	94	99	63	46	45	66	71
Ephb4	983	1092	1019	1195	339	254	449	468
Zan	26	30	18	9	1	2	20	2
Epo	1090	999	663	760	439	356	442	423
Gigyf1	405	414	269	359	247	284	283	316
Gm17112	9	13	12	13	3	3	3	0
Actl6b	0	1	5	1	0	0	0	0
Tfr2	11	8	7	4	3	0	4	2
Mospd3	35	32	35	32	8	9	10	12
Pcolce	363	359	350	292	203	145	336	316
Lrch4	202	194	206	195	159	136	178	194
Irs3	0	1	0	1	0	0	3	0
Agfg2	255	254	263	281	119	137	165	136
Gm15498	4	2	3	2	0	0	0	0
6430598A04Rik	58	78	37	38	8	1	10	6
Tsc22d4	365	385	503	601	539	467	629	623
Ppp1r35	44	51	22	27	9	14	19	16
Mepce	251	247	174	259	114	127	114	119
Zcwpw1	127	115	77	69	24	21	25	39
Pilra	27	26	36	19	34	22	65	52
Pilrb1	0	2	1	2	11	7	9	5
Pilrb2	6	9	6	3	11	5	10	17
Cyp3a13	6	7	7	5	24	23	11	7
Gjc3	8	15	14	27	11	9	7	8
Azgp1	0	0	0	0	0	0	0	0
Gm4963	8	12	6	5	4	5	6	7
Smok3a	0	0	0	0	0	0	0	0
Zkscan1	1164	1246	922	1050	575	598	851	761
Zscan21	377	408	223	246	183	221	272	274
Zfp113	93	86	134	129	154	145	160	161
Cops6	797	816	568	692	562	608	636	563
Mcm7	1812	1784	582	737	114	98	188	181
Ap4m1	302	320	173	175	63	63	103	87
Taf6	409	387	208	217	230	245	286	296
Cnpy4	287	265	158	169	58	64	103	105
Mblac1	13	10	12	14	5	6	6	10
Gm454	0	0	0	0	0	0	0	0
BC055004	3	7	4	2	16	5	25	25
0910001L09Rik	224	230	138	181	167	163	254	232
BC037034	80	85	60	50	32	36	49	59
6330418K02Rik	27	39	11	17	17	17	24	24
Gal3st4	150	137	37	48	9	6	10	20
Stag3	114	91	91	97	10	7	12	27
Gm10874	12	18	8	11	14	12	14	15
Zfp157	386	424	291	255	219	210	275	233
Gm5564	25	23	15	20	13	13	14	15
1700123K08Rik	0	0	0	0	0	0	0	0
Zfp68	964	973	681	787	506	535	571	526
AC125115.1	0	1	0	0	0	0	1	0
A430033K04Rik	161	167	154	132	124	145	175	121
Fam20c	438	531	351	516	178	140	236	220
AC113533.1	0	0	2	0	0	0	0	0
Pdgfa	831	794	473	798	205	187	208	163
6330403L08Rik	141	132	139	179	123	122	105	88
Prkar1b	258	365	145	205	40	24	48	38
Heatr2	585	649	318	350	147	159	155	170
Sun1	1143	1137	783	786	589	632	675	658
Get4	729	742	405	468	192	192	214	223
Adap1	38	65	40	37	31	27	63	45
Cox19	270	245	219	285	183	195	380	312
Cyp2w1	0	1	0	0	0	0	0	0
3110082I17Rik	272	291	332	230	252	209	326	264
Gpr146	405	395	387	444	525	521	800	627
C130050O18Rik	6	8	15	3	6	2	17	11
Gpr30	17	17	21	17	8	3	7	15
AC140216.1	0	0	1	0	0	0	0	0
Zfand2a	512	525	670	629	128	139	180	185
Uncx	1	2	3	2	1	1	2	3
Micall2	84	108	211	142	19	10	30	45
Ints1	740	745	527	504	371	356	441	377
Mafk	991	980	746	877	319	423	521	457
Tmem184a	15	24	13	7	2	2	3	5
Psmg3	83	81	45	54	32	23	46	29
Elfn1	23	26	61	29	2	2	4	3
Mad1l1	894	1112	1301	994	627	500	798	700
Gm16122	0	1	4	0	0	0	0	1
Gm16121	2	0	3	3	0	0	3	1
Gm16120	4	0	0	2	0	0	1	1
Ftsj2	55	33	48	34	56	51	65	61
Nudt1	101	106	45	45	37	49	54	57
Snx8	317	368	282	329	162	110	205	236
Eif3b	2227	2315	1342	1612	700	739	892	860
Chst12	36	44	55	26	29	23	48	47
Grifin	1	4	1	0	0	0	0	0
Lfng	73	74	62	78	50	47	65	63
Ttyh3	649	781	464	489	101	62	127	129
Iqce	168	169	137	86	90	82	168	199
Baat1	110	90	92	87	77	72	82	91
Amz1	66	71	61	48	80	67	71	87
Gna12	927	1284	1350	1339	1131	1137	1182	1254
Card11	6	6	20	14	12	9	25	25
AC161570.1	0	0	0	0	0	0	0	0
Sdk1	4151	6414	4170	4424	303	240	450	529
Gm16035	6	9	8	8	0	0	0	0
Gm16036	4	7	6	3	0	0	1	0
Foxk1	585	696	541	727	323	300	325	368
C330006K01Rik	108	104	84	67	54	49	73	79
Radil	235	261	118	144	53	38	63	84
Mmd2	0	4	4	1	0	0	0	0
Wipi2	1446	1412	1090	1215	501	552	593	542
Slc29a4	24	22	15	15	1	3	2	4
Tnrc18	858	1110	791	981	458	384	500	558
Fbxl18	216	239	180	174	107	103	115	122
Actb	5383	5319	3622	2774	1642	1372	2083	2207
Fscn1	623	661	647	603	58	50	183	165
Rnf216	1529	2026	2008	1952	1019	980	1107	1176
Olfr718-ps1	0	0	0	0	0	0	0	0
Rbak	197	194	199	190	86	90	117	101
4933411G11Rik	1	0	3	1	0	0	0	0
Spdyb	1	0	0	1	3	2	1	0
4930448H16Rik	0	0	2	0	0	0	0	0
Zfp12	218	210	228	195	126	153	175	149
Zfp316	152	142	104	112	82	96	138	112
AC123686.1	7	9	8	2	1	0	3	1
E130309D02Rik	280	274	159	178	82	96	91	125
Zdhhc4	222	223	207	208	102	125	131	154
0610040B10Rik	38	39	28	20	25	32	40	45
Grid2ip	5	5	5	0	0	0	0	0
Gm20635	43	37	29	16	1	4	12	5
Kdelr2	995	915	649	594	216	221	318	289
Daglb	283	318	233	199	219	197	292	327
Rac1	1554	1763	1394	1446	666	663	756	773
2810453I06Rik	394	413	247	250	291	290	432	352
Cyth3	2043	2501	3507	3063	892	881	1563	1479
Usp42	649	750	446	487	132	124	186	180
Eif2ak1	731	795	628	646	484	488	586	533
Ankrd61	22	12	12	9	13	2	5	7
Aimp2	310	286	195	235	102	105	162	123
Pms2	592	628	406	331	145	121	186	178
Gm17135	24	34	28	15	11	11	11	8
Ccz1	1104	1065	649	687	512	574	715	723
Ocm	0	0	0	0	0	0	0	0
Lmtk2	1308	1668	1228	1368	732	780	801	778
Bhlha15	11	7	5	3	0	0	0	0
Tecpr1	318	315	426	337	341	366	493	381
2900089D17Rik	117	163	105	132	101	92	139	152
Bri3	875	965	991	944	578	627	615	653
Baiap2l1	791	1020	1222	2190	396	457	405	444
Nptx2	27	34	19	17	0	0	0	0
Tmem130	28	33	10	17	3	2	9	4
Trrap	3569	4001	2456	2900	1102	963	1444	1369
Smurf1	1624	2083	1863	2051	773	739	1102	1030
Kpna7	12	7	16	2	4	3	4	4
1700018F24Rik	0	0	0	0	0	0	0	0
Arpc1a	910	942	541	551	308	299	391	407
Arpc1b	735	740	654	543	287	214	406	445
Pdap1	1966	1820	1002	1149	668	717	861	756
Bud31	1256	1194	651	660	348	341	438	501
Ptcd1	309	268	267	307	242	286	292	287
Cpsf4	541	590	297	366	94	107	117	125
Atp5j2	1877	1833	1311	1830	2174	2692	2449	2597
Zkscan14	136	134	100	150	74	89	94	80
Zkscan5	742	767	395	504	152	170	226	224
Zfp655	1376	1610	1273	1500	526	495	564	588
Zfp498	227	267	151	136	75	69	74	95
Cyp3a57	19	17	56	18	0	0	1	0
Cyp3a16	0	0	0	0	0	0	2	0
Cyp3a41b	0	0	0	0	0	0	0	0
Cyp3a41a	0	0	0	0	0	0	0	0
Cyp3a44	0	0	0	0	0	0	0	0
Cyp3a11	0	0	0	1	0	0	0	0
Cyp3a25	0	0	0	0	0	0	0	0
Cyp3a59	0	0	0	0	0	0	0	0
Gm6309	0	0	1	0	0	0	0	0
1700001J03Rik	1	0	0	0	0	0	0	1
Rnf6	1006	952	638	706	473	526	567	529
Cdk8	2510	3334	3483	3183	1827	1492	1881	2026
Wasf3	21	29	41	31	18	11	22	26
AC093356.2	0	0	0	0	0	0	0	0
Gm6370	0	0	0	0	0	0	0	0
4930449I24Rik	0	0	0	0	0	0	0	0
Gm3402	0	0	0	0	0	0	0	0
Gm3404	0	0	0	0	0	0	0	0
Gm3409	0	0	0	0	0	0	0	0
Gm3415	0	0	0	0	0	0	0	0
AC093356.1	19	20	10	12	2	2	4	3
Gpr12	0	0	0	0	0	0	1	1
Usp12	1172	1230	1023	1175	442	452	605	553
Rpl21	4628	4553	2104	2579	1645	1771	1898	1909
Rasl11a	52	51	54	53	11	10	4	20
AC124828.1	0	0	0	0	0	0	0	0
Gtf3a	428	457	244	275	222	229	312	301
Mtif3	191	197	130	164	208	211	245	215
